;player_id;pretty_name;age;height_cm;weight_kg;foot;Nationality;club_name;club_contract_valid_until;release_clause_eur;position;Minutes played;Goals;Assists;Yellow cards;Red cards;SpG;PS%;Aearials Won;MotM;Rating;Tackles;Interceptions;Fouls commited;Clearances;Dribbled past;Blocks;Key Passes;Dribbles;Fouled;Dispossessed;Bad control;Crosses;Long balls;Through balls;Games;market_value_in_eur;missed_games;wiki_views;insta_followers;Play_in_CL;player_face_url;club_logo_url;club_flag_url;nation_logo_url;nation_flag_url;player_positions;overall;potential;wage_eur
636;127142;Jonas Martin;31;184;76;Right;France;Stade Rennais FC;2022.0;6.56;Midfield;2512;1;1;11;0;0.63;89.88;0.69;0;6.62;1.57;0.88;1.35;0.82;0.98;0.21;0.52;0.34;0.58;0.53;0.56;0.09;2.65;0.06;27.9;2677615.137;12;7423;31622;1;https://cdn.sofifa.net/players/197/813/22_120.png;https://cdn.sofifa.net/teams/74/60.png;https://cdn.sofifa.net/flags/fr.png;0;https://cdn.sofifa.net/flags/fr.png;CM;72;72;29000.0
637;127156;Teji Savanier;29;172;69;Right;France;Montpellier Hérault SC;2023.0;7.61;Midfield;5509;17;13;18;3;2.26;75.15;0.74;17;7.4;2.05;1.38;1.97;0.65;1.99;0.08;2.01;2.17;2.7;1.31;2.34;1.61;5.14;0.03;61.2;12852552.66;4;49581;28863;0;https://cdn.sofifa.net/players/205/686/22_120.png;https://cdn.sofifa.net/teams/70/60.png;https://cdn.sofifa.net/flags/fr.png;0;https://cdn.sofifa.net/flags/fr.png;CM, CAM;80;80;35000.0
638;127181;Benjamin Lecomte;30;187;78;Left;France;Atlético de Madrid;2022.0;0;Goalkeeper;5041;0;0;3;0;0;71.65;0.4;0;6.6;0;0.05;0;1;0.05;0;0;0;0.1;0;0;0;6.45;0;56;8032845.412;10;61905;90723;0;https://cdn.sofifa.net/players/200/726/22_120.png;https://cdn.sofifa.net/teams/240/60.png;https://cdn.sofifa.net/flags/es.png;0;https://cdn.sofifa.net/flags/fr.png;GK;79;80;41000.0
639;127182;Thomas Monconduit;30;184;83;Right;France;FC Lorient;2023.0;6.51;Midfield;4057;5;2;14;0;0.85;78.99;0.96;3;6.55;1.25;0.65;1.25;1.23;1;0.17;0.66;0.79;0.88;0.56;0.92;0.31;2.73;0.03;45.1;1606569.082;0;3754;10133;0;https://cdn.sofifa.net/players/203/128/22_120.png;https://cdn.sofifa.net/teams/217/60.png;https://cdn.sofifa.net/flags/fr.png;0;https://cdn.sofifa.net/flags/fr.png;CDM, CM;71;71;11000.0
640;127187;Abdoulaye Doucoure;28;184;76;Right;France;Everton;2023.0;7.52;Midfield;7187;8;9;19;0;1.2;80.92;1.33;2;6.75;1.85;0.99;1.12;0.92;1.1;0.2;0.81;0.93;0.44;0.83;1.51;0.04;1.19;0.06;79.8;26776151.37;15;167546;142264;0;https://cdn.sofifa.net/players/208/135/22_120.png;https://cdn.sofifa.net/teams/7/60.png;https://cdn.sofifa.net/flags/gb-eng.png;0;https://cdn.sofifa.net/flags/fr.png;CM, CDM;79;79;87000.0
641;127189;Geoffrey Kondogbia;28;188;76;Left;Central African Republic;Atlético de Madrid;2024.0;7.56;Midfield;4821;3;3;20;1;0.64;85.23;1.22;3;6.8;2.57;1.72;1.16;1;1.08;0.24;0.25;0.92;1.08;0.51;0.91;0;2.85;0.02;53.5;16065690.82;7;227208;146901;1;https://cdn.sofifa.net/players/201/455/22_120.png;https://cdn.sofifa.net/teams/240/60.png;https://cdn.sofifa.net/flags/es.png;0;https://cdn.sofifa.net/flags/cf.png;CM, CDM;79;79;58000.0
642;127202;Matz Sels;29;190;88;Right;Belgium;RC Strasbourg Alsace;2024.0;7.25;Goalkeeper;5220;0;0;1;0;0.04;63.81;0.34;1;6.61;0;0;0;0.81;0;0;0;0;0.14;0;0;0;7.11;0;58;6961799.357;20;39657;28877;1;https://cdn.sofifa.net/players/199/641/22_120.png;https://cdn.sofifa.net/teams/76/60.png;https://cdn.sofifa.net/flags/fr.png;https://cdn.sofifa.net/teams/1325/60.png;https://cdn.sofifa.net/flags/be.png;GK;77;79;20000.0
643;127573;Phillipp Mwene;27;172;68;Right;Austria;PSV;2024.0;6.51;Defender;3992;4;4;5;0;0.43;73.37;0.56;1;6.76;2.07;1.22;1.31;1.28;0.95;0.18;0.82;0.69;0.69;0.71;1.23;0.87;1.46;0.04;44.3;3213138.165;8;27863;17563;0;https://cdn.sofifa.net/players/216/275/22_120.png;https://cdn.sofifa.net/teams/247/60.png;https://cdn.sofifa.net/flags/nl.png;https://cdn.sofifa.net/teams/1322/60.png;https://cdn.sofifa.net/flags/at.png;RB, LB;72;72;12000.0
644;128042;Mark Van Der Maarel;31;177;74;Right;Netherlands;FC Utrecht;2023.0;6.11;Defender;5019;3;3;17;0;0.57;83.03;1.07;0;6.74;2.31;1.29;1.32;2.36;0.96;0.33;0.39;0.22;0.47;0.21;0.53;0.16;3.59;0;55.7;428418.422;2;6018;8910;0;https://cdn.sofifa.net/players/198/147/22_120.png;https://cdn.sofifa.net/teams/1903/60.png;https://cdn.sofifa.net/flags/nl.png;0;https://cdn.sofifa.net/flags/nl.png;RB, CB, LB;68;68;6000.0
645;128223;Alvaro Morata;28;190;84;Right;Spain;Juventus;2022.0;0;Attack;8415;45;19;14;2;1.95;72.32;1.85;13;6.92;0.48;0.19;1.37;0.62;0.52;0.07;0.99;0.68;1.81;1.25;2.33;0.09;0.56;0.09;93.4;37486611.92;8;1328174;15910658;1;https://cdn.sofifa.net/players/201/153/22_120.png;https://cdn.sofifa.net/teams/45/60.png;https://cdn.sofifa.net/flags/it.png;https://cdn.sofifa.net/teams/1362/60.png;https://cdn.sofifa.net/flags/es.png;ST;83;83;84000.0
